"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"fever",3.66694167847903,1.12107107414823,11.369498735484,5.93273103754387e-30,2.93106076476964,4.58757506326329
"cough",2.48489323158549,1.06809869561422,13.8164488482852,2.02831788718272e-43,2.18388844068179,2.82738543661677
"throat",1.36937817284008,1.07935342951045,4.11665468180555,3.84411367182461e-05,1.17902710963572,1.59046095287003
"chest_tight",2.38076415542556,1.08060373085142,11.189663116871,4.58171067458262e-29,2.045178982319,2.77141414651751
"breath",2.91409265361245,1.07770757251675,14.2920000319403,2.45457432747786e-46,2.51653337832919,3.37445792174478
"nose",1.0833043205101,1.05754097177843,1.43022538959669,0.152652340632209,0.970797913700946,1.20884916857924
"aches",1.93031838909498,1.06270201702224,10.814565444981,2.93681184420906e-27,1.71341809728466,2.17467592363078
"fatigue",2.41233778647296,1.06336812361999,14.3323083620798,1.37474024144101e-46,2.13864721881434,2.7210535449
"diarrhoea",1.62151109144537,1.0885103729327,5.69930125169425,1.2029948125549e-08,1.37318613305177,1.91474276967609
"smell_taste",11.8443801808899,1.09377629058139,27.576510748361,2.12904092434428e-167,9.93605234956983,14.1192233025554
"nausea_vomit",1.50820553305975,1.15730067382054,2.81278489320756,0.00491144944162402,1.13268265739266,2.00822703085096
"rash",1.56583591581028,1.13097513070877,3.64331373597378,0.000269150442322557,1.23021264648188,1.99302301293448
"sneezing",0.928588003512671,1.06218387199083,-1.22814107680273,0.219394013403177,0.825035421465041,1.04513776964446
"headache",1.18119303231354,1.06249814818045,2.74689976788255,0.00601615172890073,1.04886257248653,1.33021905460734
"concentrating",1.89676475661038,1.06813656082839,9.71165690037608,2.68929383551289e-22,1.66688643562405,2.15834532277079
"memory",1.4214183995817,1.07362005789608,4.95036889674716,7.40729421758684e-07,1.23667572338085,1.63375914030714
