"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","conf_int[-1, ]"
"fever",2.33677369014179,1.24174676309724,3.92007604624803,8.85210314960442e-05,1.52867544360587,3.57205403002909,NA
"cough",2.11317173511728,1.2537213118907,3.30887429998418,0.00093671882288468,1.35663917336713,3.2915862004894,NA
"throat",1.22098615961958,1.1827385820881,1.18963110534967,0.234191414593357,0.878721774923874,1.69656339984486,NA
"chest_tight",1.96789118078191,1.19508698639926,3.7984872481846,0.000145581917634685,1.38771669498392,2.79062413343966,NA
"breath",2.49022981622401,1.57132307673592,2.01889507632037,0.0434981260974302,1.02698982197848,6.03827263415759,NA
"nose",1.0819975726837,1.11357223058744,0.732608396967638,0.46379730819279,0.876314343285762,1.3359575319785,NA
"aches",1.48837513915548,1.16216577521825,2.64620014501389,0.00814016379543387,1.10863686981865,1.99818408999735,NA
"fatigue",1.58013622286781,1.23642394195792,2.1558003780844,0.031099255955797,1.04243679523929,2.3951864460481,NA
"diarrhoea",1.50142563175437,1.1926572459687,2.30676761200581,0.0210677787196831,1.06300646383135,2.12066342434457,NA
"smell_taste",3.20190729565008,1.20096096116068,6.35503339388196,2.08381347387819e-10,2.23632538175599,4.58440011170783,NA
"nausea_vomit",1.23571753172536,1.25726415950914,0.92449372678925,0.355229316123421,0.788945093749232,1.93549314180636,NA
"rash",0.81440072216526,2.72295170914495,-0.204950952414034,0.837610445798802,0.114334036746169,5.80097191648857,NA
"sneezing",0.849154128249754,1.11311246858392,-1.52589015949423,0.127037221806298,0.688290330285134,1.04761421422976,NA
"headache",1.37665144191191,1.17248324500217,2.00883711563636,0.0445544106690868,1.00780720326479,1.88048784170102,NA
"appetite",1.88738277563166,1.20785423033247,3.36355039978051,0.000769467849828957,1.30351031655974,2.73278523115381,NA
"tummy_ache",1.45738649615724,1.17199286800895,2.37322909016238,0.0176333232418867,1.06778615271842,1.98913929888878,NA
"eyes",0.911426128894694,1.13139898601562,-0.751243780599608,0.452505956438754,0.715544201785392,1.16093119944128,NA
"voice",1.71542603223834,1.22327693257216,2.67777856214348,0.0074112197266843,1.15565064892621,2.54634605606393,NA
"dizzy",1.27420283439168,1.20152729858458,1.31987657490663,0.186876229783812,0.889126387409736,1.82605407528366,NA
"chest_pain",1.77066659510888,1.26908059944346,2.39770702603443,0.0164980550143085,1.10994556284345,2.82469726083016,NA
"chills",2.27228150096827,1.24067486127002,3.80599841041011,0.000141233289150699,1.48900398517704,3.46759529930253,NA
"sleep",0.928687619961915,1.12002334602385,-0.652696583325863,0.513951905602572,0.743680444292792,1.15971947640856,NA
"numb",1.15016961696115,1.17601309043416,0.862946037948459,0.388167136712304,0.837060023375798,1.580400581604,NA
"heavy",1.36466247490859,1.22856981085801,1.51035226187545,0.130953562862233,0.911600981729486,2.04289344543101,NA
"swelling",6.10406814800343e-06,159688966654874,-0.367125234090898,0.713525605438161,8.86568070639537e-34,4.20268326701552e+22,NA
"...26",0.0263131935556594,1.60739209844037,-7.66452755875173,1.79490665653729e-14,NA,NA,-2.70746032283634
"...27",0.0263131935556594,1.60739209844037,-7.66452755875173,1.79490665653729e-14,NA,NA,-2.70746032283634
