"","Estimate","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"fever",1.85065950005395,1.11548835094037,5.63207204460651,1.78057267237264e-08,1.49381478445795,2.29274781637853
"cough",1.47708418345311,1.0530854118208,7.5413234424653,4.652256309805e-14,1.33468078292802,1.63468127578862
"throat",1.21101256983261,1.05769649566848,3.41317792928419,0.000642100048133855,1.08493030416818,1.35174714786586
"chest_tight",1.77261448720757,1.06339158922908,9.31376151529213,1.2338354192983e-20,1.57143543712873,1.99954897669828
"breath",2.13568051736098,1.05757626512969,13.5546402235282,7.43759202005771e-42,1.9137545587737,2.38334181952672
"nose",0.977549424442234,1.04120638634658,-0.562318244220156,0.573899210218177,0.903165173036208,1.05805992719455
"aches",1.41092881211935,1.04707161123403,7.48409197627,7.20434897272112e-14,1.28929443211807,1.5440384005988
"fatigue",1.70414276551448,1.04378175574582,12.440069204107,1.5836665219885e-35,1.56686518341102,1.85344763289282
"diarrhoea",1.48715904149026,1.06221643049069,6.5752610598434,4.85678783357402e-11,1.32123737600008,1.67391723460152
"smell_taste",3.82353491598147,1.09450745514048,14.851708571244,6.78179129905805e-50,3.20330118032774,4.56386035241109
"nausea_vomit",1.06564511404613,1.11876291955632,0.56655098718765,0.571019282604913,0.855239495563673,1.32781462383462
"rash",1.12134788101971,1.10371032339784,1.16066375488259,0.245778667127521,0.924157314029525,1.36061366520464
"sneezing",0.977657156935839,1.04364797977936,-0.5289100290727,0.596867864440062,0.899127622522508,1.0630454371164
"headache",0.992793801125171,1.04386722951323,-0.168457963669371,0.866223011150446,0.912672597372347,1.07994864137512
"appetite",1.40319138114393,1.14893225162792,2.4399754872009,0.0146882585503021,1.0689121546177,1.84200922742881
"tummy_ache",1.13054484980792,1.11119873879901,1.16369887074055,0.244546067228324,0.919470150792639,1.39007411640865
"eyes",1.22991326931128,1.08788441977734,2.45674449897176,0.0140202361134789,1.04273415898464,1.45069252502569
"voice",1.05774664719853,1.16710652255744,0.363306170888666,0.71637618413032,0.781353392065499,1.43191029951522
"dizzy",1.22733066472833,1.11756139764991,1.84294633338028,0.0653368464549607,0.987077824117608,1.52606058385424
"chest_pain",1.7350813438421,1.17338513655565,3.44639735197212,0.000568114346593885,1.26829067424705,2.37367295280017
"chills",1.15059947554312,1.19498320787366,0.787522649841393,0.430975974750664,0.811517379199494,1.6313626633924
"sleep",1.19134356457442,1.07764139817085,2.34145466334502,0.0192087587521235,1.02893663408192,1.3793847374472
"numb",1.22631466690455,1.11153728313339,1.92931487280303,0.0536917844794869,0.996764286662625,1.50872947836083
"heavy",1.53906581628725,1.13664583639394,3.36641142315693,0.000761530348238333,1.19738516026852,1.97824698807251
"swelling",0.932274547748874,1.36188857000782,-0.227044988863314,0.820388759455753,0.508898501242675,1.70787658100394
"concentrating",1.49866205739792,1.0492047431653,8.42289771957526,3.67285093006896e-17,1.36401260195814,1.64660352775324
"memory",1.46201945268613,1.05265361824513,7.4018192547761,1.34331263339895e-13,1.32213072543117,1.61670917929508
